Ingredient ID,Ingredient Name,Category,Supplier Name,Supplier Type,Price per KG (USD),Potency (%),Active,Notes
RM010,Magnesium as (Magnesium Citrate) 30%,Minerals,Actylis/Talus Mineral Company,"Iron (Bisglycinate) 20%, Magnesium (Magnesium Glycinate 20%), Magnesium as (Magnesium Citrate) 30%, Sodium Selenite 1%, Magnesium (Magnesium Glycinate 30%)",9.84,30,TRUE,Yes
RM011,Sodium Selenite 1%,Minerals,Actylis/Talus Mineral Company,"Iron (Bisglycinate) 20%, Magnesium (Magnesium Glycinate 20%), Magnesium as (Magnesium Citrate) 30%, Sodium Selenite 1%, Magnesium (Magnesium Glycinate 30%)",17.43,1,TRUE,No
RM013,Organic Monk Fruit Extract V50%,Botanicals,"Agroindustrias Amazonicas, N.A",Raw Material Supplier,370.00,50,TRUE,No
RM014,Sarsaparilla (Smilax Glabra) Root Powder,Botanicals,"Agroindustrias Amazonicas, N.A",Raw Material Supplier,46.75,10,TRUE,Yes
RM001,Hydrangea Root powder,Botanicals,Amazonicas,Hydrangea Root powder,25.95,10,TRUE,No
RM016,Bencel K 100M XR,Other,Ashland,Bencel K 100M XR,29.85,95,TRUE,No
RM017,Beet root (Beta Vulgaris ) powder,Botanicals,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",6.00,10,TRUE,No
RM018,Bromelain 2400 GDU,Other,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",65.00,95,TRUE,No
RM019,Calcium (as Calcium Malate) 23%,Minerals,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",25.00,23,TRUE,No
RM020,Calcium (as Monobasic Calcium Phosphate),Minerals,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",6.50,95,TRUE,No
RM021,Calcium (as Tribasic Calcium Phosphate),Minerals,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",6.50,95,TRUE,No
RM022,Calcium Chelate 20%,Minerals,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",18.00,20,TRUE,No
RM023,Calcium Citrate Powder,Minerals,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",7.00,95,TRUE,No
RM024,Carbonyl Iron,Minerals,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",65.00,95,TRUE,No
RM025,Chromium (as Chromim acc) 2%,Minerals,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",18.50,2,TRUE,No
RM026,Copper ( Copper Amino Acid Chelate) 20%,Minerals,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",29.00,20,TRUE,No
RM027,Copper (as copper citrate) 10%,Minerals,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",28.00,10,TRUE,No
RM028,Copper (as copper glucocate),Minerals,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",21.50,95,TRUE,No
RM029,Gum Acacia,Other,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",14.00,95,TRUE,No
RM030,Iron (as ferrous bisglycinate),Minerals,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",35.00,95,TRUE,No
RM031,L-Carnosine,Other,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",230.00,95,TRUE,No
RM032,L-Cysteine,Amino Acids,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",45.00,99,TRUE,No
RM033,Magnesium (as Magnesium Malate),Minerals,Asia America,"Beet root (Beta Vulgaris ) powder, Bromelain 2400 GDU, Calcium (as Calcium Malate) 23%, Calcium (as Monobasic Calcium Phosphate), Calcium (as Tribasic Calcium Phosphate), Calcium Chelate 20%, Calcium Citrate Powder, Carbonyl Iron , Chromium (as Chromim acc) 2%, Copper ( Copper Amino Acid Chelate) 20%, Copper (as copper citrate) 10%, Copper (as copper glucocate), Gum Acacia, Iron (as ferrous bisglycinate) , L-Carnosine, L-Cysteine, Magnesium (as Magnesium Malate), Magnesium as (Magnesium HCL), Magnesium oxide Granular, Magnesium Oxide Powder, Malic Acid, Manganese Gluconate, Mannitol, Niacin (B3) Powder, Nicotinic Acid granular , Organic Turmeric Root Powder , Phosphorus (as Monobasic Potassium Phosphate), Potassium (as Potassium Bicarbonate), Potassium Choride, Potassium citrate (Granular) , Potassium Iodide, Selenium (as selenium glycinate) 1%, Vitamin C 97% (Ascorbic Acid) Granular, vitamin C 97% granular, ""Vitamin D3 cholocalceferol (100,000 IU/g)"", Vitamin E (as D-Alpha Tocopherol Succinate) 1221 IU/g, Vitamin E (as d-Alpha Tocopheryl Acetate) 700 IU, Vitamin E (as Dl-Alpha Tocopheryl Acetate) 50% CWS, Zinc Amino Acid Chelate 20%, Zinc Ascorbate, Zinc Citrate 30%, Zinc Gluconate 13%",18.00,95,TRUE,No
